name,Region,Last Update,Confirmed,Deaths,Recovered
West Virginia,USA,2020-04-14 03:00:00,633,9,57
Hawaii,USA,2020-04-14 03:00:00,504,9,310
Montana,USA,2020-04-14 03:00:00,394,7,171
North Dakota,USA,2020-04-14 03:00:00,331,8,127
Alaska,USA,2020-04-14 03:00:00,277,8,66
Wyoming,USA,2020-04-14 03:00:00,275,1,137
Guam,USA,2020-04-14 03:00:00,133,5,58
Grand Princess,USA,2020-04-14 03:00:00,103,3,0
United States Virgin Islands,USA,2020-04-14 03:00:00,51,1,43
Diamond Princess,USA,2020-04-14 03:00:00,49,0,0
Northern Mariana Islands,USA,2020-04-14 03:00:00,11,2,0
Wuhan Evacuee,USA,2020-04-14 03:00:00,4,0,0
California,USA,2020-03-02 03:00:00,16,0,2
Washington,USA,2020-03-02 03:00:00,12,2,1
Illinois,USA,2020-03-01 04:00:00,3,0,2
Arizona,USA,2020-02-25 21:00:00,1,0,1
Massachusetts,USA,2020-02-01 19:43:00,1,0,0
Wisconsin,USA,2020-02-05 21:53:00,1,0,0
Oregon,USA,2020-03-02 03:00:00,2,0,0
Rhode Island,USA,2020-03-01 19:00:00,1,0,0
New York,USA,2020-03-02 03:00:00,1,0,0
Florida,USA,2020-03-02 03:00:00,2,0,0
New York,USA,2020-05-11 03:00:00,341881,26776,36980
New Jersey,USA,2020-05-11 03:00:00,138754,9256,3214
Massachusetts,USA,2020-05-11 03:00:00,77793,4979,8985
Illinois,USA,2020-05-11 03:00:00,77741,3406,1518
California,USA,2020-05-11 03:00:00,67875,2718,8191
Pennsylvania,USA,2020-05-11 03:00:00,59939,3806,1120
Michigan,USA,2020-05-11 03:00:00,47182,4555,22686
Florida,USA,2020-05-11 03:00:00,40596,1721,371
Texas,USA,2020-05-11 03:00:00,39258,1094,21022
Georgia,USA,2020-05-11 03:00:00,33836,1406,340
Connecticut,USA,2020-05-11 03:00:00,33554,2967,63
Maryland,USA,2020-05-11 03:00:00,32587,1644,2293
Louisiana,USA,2020-05-11 03:00:00,31600,2286,20316
Indiana,USA,2020-05-11 03:00:00,24126,1508,1691
Virginia,USA,2020-05-11 03:00:00,24081,839,3201
Ohio,USA,2020-05-11 03:00:00,24081,1341,2384
Colorado,USA,2020-05-11 03:00:00,19712,972,695
Washington,USA,2020-05-11 03:00:00,17387,932,2106
Tennessee,USA,2020-05-11 03:00:00,14985,243,7533
North Carolina,USA,2020-05-11 03:00:00,14938,564,2426
Iowa,USA,2020-05-11 03:00:00,11959,265,5154
Rhode Island,USA,2020-05-11 03:00:00,11274,422,809
Minnesota,USA,2020-05-11 03:00:00,11271,578,6304
Arizona,USA,2020-05-11 03:00:00,11127,536,6
Veteran Affair,USA,2020-05-11 03:00:00,11015,858,0
Wisconsin,USA,2020-05-11 03:00:00,10219,400,5014
Missouri,USA,2020-05-11 03:00:00,10068,503,2523
Alabama,USA,2020-05-11 03:00:00,9889,393,0
Mississippi,USA,2020-05-11 03:00:00,9501,430,4421
Nebraska,USA,2020-05-11 03:00:00,8171,90,228
US Military,USA,2020-05-11 03:00:00,7826,27,3156
South Carolina,USA,2020-05-11 03:00:00,7653,331,3252
Kansas,USA,2020-05-11 03:00:00,6951,174,1486
Kentucky,USA,2020-05-11 03:00:00,6440,304,1675
Delaware,USA,2020-05-11 03:00:00,6277,221,2450
District of Columbia,USA,2020-05-11 03:00:00,6272,323,880
Utah,USA,2020-05-11 03:00:00,6251,67,1952
Nevada,USA,2020-05-11 03:00:00,6120,310,4604
New Mexico,USA,2020-05-11 03:00:00,4863,200,1285
Oklahoma,USA,2020-05-11 03:00:00,4589,272,3206
Arkansas,USA,2020-05-11 03:00:00,4012,91,3112
Federal Bureau of Prisons,USA,2020-05-11 03:00:00,3695,48,935
South Dakota,USA,2020-05-11 03:00:00,3517,34,2147
Oregon,USA,2020-05-11 03:00:00,3228,127,1125
New Hampshire,USA,2020-05-11 03:00:00,3071,133,1229
Navajo Nation,USA,2020-05-11 03:00:00,2973,98,0
Idaho,USA,2020-05-11 03:00:00,2230,67,1442
Puerto Rico,USA,2020-05-11 03:00:00,2198,111,0
North Dakota,USA,2020-05-11 03:00:00,1491,35,792
Maine,USA,2020-05-11 03:00:00,1436,64,861
West Virginia,USA,2020-05-11 03:00:00,1360,54,775
Vermont,USA,2020-05-11 03:00:00,927,53,777
Wyoming,USA,2020-05-11 03:00:00,662,7,443
Hawaii,USA,2020-05-11 03:00:00,632,17,561
Montana,USA,2020-05-11 03:00:00,458,16,422
Alaska,USA,2020-05-11 03:00:00,379,10,324
Guam,USA,2020-05-11 03:00:00,151,5,128
Grand Princess,USA,2020-05-11 03:00:00,103,3,0
United States Virgin Islands,USA,2020-05-11 03:00:00,69,4,59
Diamond Princess,USA,2020-05-11 03:00:00,49,0,0
Northern Mariana Islands,USA,2020-05-11 03:00:00,16,2,12
Wuhan Evacuee,USA,2020-05-11 03:00:00,4,0,0
New York,USA,2020-05-12 03:00:00,343265,26863,36980
New Jersey,USA,2020-05-12 03:00:00,140206,9340,3214
Illinois,USA,2020-05-12 03:00:00,79007,3459,1518
Massachusetts,USA,2020-05-12 03:00:00,78462,5108,10609
California,USA,2020-05-12 03:00:00,69347,2779,8219
Pennsylvania,USA,2020-05-12 03:00:00,60459,3832,1120
Michigan,USA,2020-05-12 03:00:00,47552,4584,22686
Florida,USA,2020-05-12 03:00:00,40982,1735,371
Texas,USA,2020-05-12 03:00:00,40590,1118,21713
Georgia,USA,2020-05-12 03:00:00,34002,1444,340
Connecticut,USA,2020-05-12 03:00:00,33765,3008,63
Maryland,USA,2020-05-12 03:00:00,33373,1683,2298
Louisiana,USA,2020-05-12 03:00:00,31815,2308,22608
Virginia,USA,2020-05-12 03:00:00,25070,850,3273
Ohio,USA,2020-05-12 03:00:00,24777,1357,3168
Indiana,USA,2020-05-12 03:00:00,24627,1540,1691
Colorado,USA,2020-05-12 03:00:00,19900,987,695
Washington,USA,2020-05-12 03:00:00,17783,951,2319
Tennessee,USA,2020-05-12 03:00:00,15544,251,8043
North Carolina,USA,2020-05-12 03:00:00,15274,576,2426
Iowa,USA,2020-05-12 03:00:00,12373,271,5249
Minnesota,USA,2020-05-12 03:00:00,11799,591,7536
Rhode Island,USA,2020-05-12 03:00:00,11450,430,841
Arizona,USA,2020-05-12 03:00:00,11383,542,6
Veteran Affair,USA,2020-05-12 03:00:00,11237,872,0
Wisconsin,USA,2020-05-12 03:00:00,10418,409,5176
Alabama,USA,2020-05-12 03:00:00,10164,403,0
